Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,CUMMINSIND,96406,OPTSTK,CE,3650,CUMMINS INDIA LTD,CUMMINSIND OCT 3650 CE,CUMMINSIND31OCT24C3650,2024-10-31,300,0.05
NFO,nse_fo,PVRINOX,96409,OPTSTK,PE,1320,PVR INOX LIMITED,PVRINOX OCT 1320 PE,PVRINOX31OCT24P1320,2024-10-31,407,0.05
NFO,nse_fo,PVRINOX,96413,OPTSTK,PE,1400,PVR INOX LIMITED,PVRINOX OCT 1400 PE,PVRINOX31OCT24P1400,2024-10-31,407,0.05
NFO,nse_fo,PVRINOX,96414,OPTSTK,CE,1440,PVR INOX LIMITED,PVRINOX OCT 1440 CE,PVRINOX31OCT24C1440,2024-10-31,407,0.05
NFO,nse_fo,PVRINOX,96415,OPTSTK,PE,1440,PVR INOX LIMITED,PVRINOX OCT 1440 PE,PVRINOX31OCT24P1440,2024-10-31,407,0.05
NFO,nse_fo,PVRINOX,96416,OPTSTK,CE,1480,PVR INOX LIMITED,PVRINOX OCT 1480 CE,PVRINOX31OCT24C1480,2024-10-31,407,0.05
NFO,nse_fo,PVRINOX,96417,OPTSTK,PE,1480,PVR INOX LIMITED,PVRINOX OCT 1480 PE,PVRINOX31OCT24P1480,2024-10-31,407,0.05
NFO,nse_fo,PVRINOX,96418,OPTSTK,CE,1520,PVR INOX LIMITED,PVRINOX OCT 1520 CE,PVRINOX31OCT24C1520,2024-10-31,407,0.05
NFO,nse_fo,PVRINOX,96419,OPTSTK,PE,1520,PVR INOX LIMITED,PVRINOX OCT 1520 PE,PVRINOX31OCT24P1520,2024-10-31,407,0.05
NFO,nse_fo,PVRINOX,96420,OPTSTK,CE,1560,PVR INOX LIMITED,PVRINOX OCT 1560 CE,PVRINOX31OCT24C1560,2024-10-31,407,0.05
NFO,nse_fo,PVRINOX,96421,OPTSTK,PE,1560,PVR INOX LIMITED,PVRINOX OCT 1560 PE,PVRINOX31OCT24P1560,2024-10-31,407,0.05
