Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,NIFTYNXT50,35000,FUTIDX,XX,-1,NIFTYNXT50,NIFTYNXT50 DEC FUT,NIFTYNXT5027DEC24F,2024-12-27,10,0.05
NFO,nse_fo,MIDCPNIFTY,35004,FUTIDX,XX,-1,MIDCPNIFTY,MIDCPNIFTY DEC FUT,MIDCPNIFTY30DEC24F,2024-12-30,50,0.05
NFO,nse_fo,NIFTY,35005,FUTIDX,XX,-1,NIFTY,NIFTY DEC FUT,NIFTY26DEC24F,2024-12-26,25,0.05
NFO,nse_fo,BANKNIFTY,35006,FUTIDX,XX,-1,BANKNIFTY,BANKNIFTY OCT FUT,BANKNIFTY30OCT24F,2024-10-30,15,0.05
NFO,nse_fo,NIFTYNXT50,35007,FUTIDX,XX,-1,NIFTYNXT50,NIFTYNXT50 OCT FUT,NIFTYNXT5025OCT24F,2024-10-25,10,0.05
NFO,nse_fo,FINNIFTY,35012,FUTIDX,XX,-1,FINNIFTY,FINNIFTY OCT FUT,FINNIFTY29OCT24F,2024-10-29,25,0.05
NFO,nse_fo,BANKNIFTY,35013,FUTIDX,XX,-1,BANKNIFTY,BANKNIFTY NOV FUT,BANKNIFTY27NOV24F,2024-11-27,15,0.05
NFO,nse_fo,BANKNIFTY,35025,FUTIDX,XX,-1,BANKNIFTY,BANKNIFTY DEC FUT,BANKNIFTY24DEC24F,2024-12-24,15,0.05
NFO,nse_fo,AARTIIND,35028,FUTSTK,XX,-1,AARTI INDUSTRIES LTD,AARTIIND DEC FUT,AARTIIND26DEC24F,2024-12-26,1000,0.05
NFO,nse_fo,ABB,35029,FUTSTK,XX,-1,ABB INDIA LIMITED,ABB DEC FUT,ABB26DEC24F,2024-12-26,125,0.05
NFO,nse_fo,ABBOTINDIA,35030,FUTSTK,XX,-1,ABBOTT INDIA LIMITED,ABBOTINDIA DEC FUT,ABBOTINDIA26DEC24F,2024-12-26,20,0.05
