,date,open,high,low,close,flag
0,2024-09-04 12:24:00+05:30,51424.05,51430.6,51413.5,51428.2,0
1,2024-09-04 12:27:00+05:30,51428.15,51436.45,51420.55,51423.85,0
2,2024-09-04 12:30:00+05:30,51423.5,51430.65,51400.75,51415.85,0
3,2024-09-04 12:33:00+05:30,51416.75,51431.05,51412.85,51429.4,0
4,2024-09-04 12:36:00+05:30,51424.55,51436.75,51417.1,51426.35,0
5,2024-09-04 12:39:00+05:30,51427.25,51434.9,51419.4,51426.9,0
6,2024-09-04 12:42:00+05:30,51426.95,51435.85,51419.1,51422.3,0
7,2024-09-04 12:45:00+05:30,51419.75,51427.2,51417.45,51426.9,0
8,2024-09-04 12:48:00+05:30,51422.7,51434.65,51414.75,51420.45,0
9,2024-09-04 12:51:00+05:30,51417.5,51424.45,51409.1,51418.05,0
10,2024-09-04 12:54:00+05:30,51414.55,51421.8,51401.95,51411.0,0
11,2024-09-04 12:57:00+05:30,51412.35,51414.9,51401.65,51403.95,0
12,2024-09-04 13:00:00+05:30,51401.4,51406.75,51393.45,51401.55,0
13,2024-09-04 13:03:00+05:30,51404.05,51411.25,51398.15,51406.15,0
14,2024-09-04 13:06:00+05:30,51406.85,51424.6,51399.7,51410.3,0
15,2024-09-04 13:09:00+05:30,51411.4,51418.65,51403.3,51414.05,0
16,2024-09-04 13:12:00+05:30,51415.05,51433.0,51409.35,51424.25,0
17,2024-09-04 13:15:00+05:30,51424.0,51456.95,51420.25,51446.95,0
18,2024-09-04 13:18:00+05:30,51444.75,51459.9,51431.85,51445.85,0
19,2024-09-04 13:21:00+05:30,51443.8,51448.75,51420.55,51421.85,0
20,2024-09-04 13:24:00+05:30,51423.25,51443.15,51420.0,51432.8,0
21,2024-09-04 13:27:00+05:30,51432.15,51439.15,51421.0,51427.85,0
22,2024-09-04 13:30:00+05:30,51427.9,51457.8,51427.4,51443.4,0
23,2024-09-04 13:33:00+05:30,51447.25,51453.15,51432.95,51437.0,0
24,2024-09-04 13:36:00+05:30,51438.8,51441.75,51418.15,51422.2,0
25,2024-09-04 13:39:00+05:30,51422.45,51429.35,51409.5,51415.9,0
26,2024-09-04 13:42:00+05:30,51415.7,51419.3,51395.65,51405.0,0
27,2024-09-04 13:45:00+05:30,51405.65,51417.55,51399.8,51400.0,0
28,2024-09-04 13:48:00+05:30,51403.3,51426.3,51402.25,51414.75,0
29,2024-09-04 13:51:00+05:30,51414.55,51428.1,51406.65,51413.1,0
30,2024-09-04 13:54:00+05:30,51412.4,51426.65,51408.05,51420.2,0
31,2024-09-04 13:57:00+05:30,51419.8,51428.05,51412.7,51420.75,0
32,2024-09-04 14:00:00+05:30,51425.75,51435.65,51420.1,51425.9,0
33,2024-09-04 14:03:00+05:30,51427.8,51434.6,51415.9,51416.85,0
34,2024-09-04 14:06:00+05:30,51419.15,51434.6,51410.65,51422.4,0
35,2024-09-04 14:09:00+05:30,51424.35,51442.1,51412.35,51419.45,0
36,2024-09-04 14:12:00+05:30,51419.25,51425.55,51405.75,51409.95,0
37,2024-09-04 14:15:00+05:30,51408.7,51426.9,51406.5,51417.1,0
38,2024-09-04 14:18:00+05:30,51416.4,51425.75,51383.3,51400.25,0
39,2024-09-04 14:21:00+05:30,51399.55,51430.7,51395.75,51420.65,0
40,2024-09-04 14:24:00+05:30,51422.15,51425.6,51409.7,51412.05,0
41,2024-09-04 14:27:00+05:30,51410.2,51421.4,51407.2,51407.2,0
42,2024-09-04 14:30:00+05:30,51407.6,51414.8,51392.85,51410.95,0
